"Level","Description","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116"
1,"Aggregated",7044.24657642901,7115.92193040309,7079.87083056695,7191.58671603008,7196.90077056335,7323.41869462179,7337.20481204677,7468.42174438467,7545.22118803072,7669.81089402867,7724.0845529099,7850.59152037618,7908.03879811192,7891.41645802388,7865.32531217449,7886.83961331994,7800.61018520841,7717.17698504809,7586.37176172831,7637.16311307055,7557.20036919027,7602.87087194923,7546.70924412605,7673.38674308393,7568.23787877509,7547.27773184532,7534.16227904635,7656.35369939515,7752.75961247226,7821.80012493471,7832.873938109,7972.80709542145,8037.74855238803,8147.91680599563,8157.0980698015,8285.61558552023,8336.01008788745,8328.7350135225,8245.23179747359,8336.18747872351,8302.80791028409,8332.53802311737,8262.23507359981,8308.17609016681,8455.25020558421,8493.73533627025,8442.65557017508,8540.03416014059,8558.92297732103,8621.70985802008,8560.8641425283,8686.27381364981,8781.49638145242,8842.56197416803,8839.77160220059,9025.19143374033,8940.04087022125,8976.29659926766,8952.02348655168,9054.87942123577,9058.46164833213,9157.71060848179,9096.25847712812,9239.26525798168,9308.90983533178,9470.10313289034,9368.76458727038,9412.90564072491,9421.32833502584,9491.79450086275,9491.70070400178,9551.35978971268,9663.81506989189,9846.2029000965,9859.60449856241,10002.911354664,9983.23540875214,10038.2622911743,10050.738334468,10216.3486397537,10235.4787659774,10368.238254961,10407.8376660678,10534.2352620737,10574.1288115086,10723.3577106947,10685.934510504,10824.3391619699,10780.4283119914,10840.4144697564,10734.3673566014,10765.7709297184,10807.5483796649,10952.5316559896,10931.623735429,11078.9986550446,11181.2785534132,11247.8259768676,11171.665062964,11209.3624438644,11230.9683816295,11295.7497231099,11358.0096913013,11363.380941837,11372.4176821195,11488.4070212677,11458.9384553996,11441.3303174104,11420.1153357015,11506.0549444604,11504.8554739769,11670.1928274599,11596.6111526386,11792.9732893341,11768.7113640612,11801.6882379065
2,"Clerical and Administrative Workers",931.744937731866,942.084014508129,939.045899377866,942.293376588649,952.833165578693,981.894669506085,992.728536120615,987.779281185525,1022.41214773643,1032.02111517457,1032.84627267481,1033.25759586032,1060.90555659986,1061.0281833045,1051.37208731874,1036.72017907344,1044.63252798589,1053.65634421217,1038.8286461634,1035.221862554,1021.08198709587,1011.27714459145,1002.15830113331,1015.58440066798,1007.18940433742,1016.91519122632,1020.8557056366,1023.44422053069,1051.58570612725,1058.39982722348,1059.78005058344,1065.84520903678,1080.64213302644,1085.98787439929,1073.10673677248,1097.97911904339,1103.90929895258,1109.58581408934,1099.29645006995,1102.37657235925,1118.91151191509,1113.23540648824,1096.88051052455,1093.16316423034,1123.21017550189,1131.38108800262,1109.03074552159,1116.20057010173,1113.90936173749,1108.60305122341,1114.24169170512,1130.15511316768,1162.87502236305,1169.63533115354,1186.41552980097,1206.57496259928,1221.1026058638,1226.53061698569,1201.04773180215,1204.65327552774,1207.24400893134,1214.37742006408,1182.78222868865,1183.39087349608,1219.84500651271,1228.766929984,1222.0361345674,1226.26980486897,1233.89389979166,1203.90364762132,1202.04910714239,1194.63801480099,1222.41972307911,1231.07545231703,1231.04414433867,1247.1396730587,1247.6770732984,1253.00382427827,1252.19383316814,1262.12565613814,1276.55907559665,1281.8582320751,1286.14528118266,1287.78190878188,1303.57259509119,1313.29059242654,1292.57988784369,1295.10168611769,1302.28106441462,1314.0527015592,1307.54278061417,1285.26844415546,1293.89720920774,1295.88106805379,1293.80810384623,1272.15411334562,1301.92420824727,1288.6474450615,1305.52033856361,1316.08835124075,1357.03412137206,1355.10089954524,1336.25848791659,1344.85317734991,1356.4552805355,1360.13126412642,1334.50749717186,1346.35968817026,1340.18854076285,1311.85436648578,1337.57213194917,1331.0759565878,1325.36116218998,1333.52536159419,1299.27198987991,1299.35093226665
2,"Community and Personal Service Workers",373.693074273864,397.29534025293,392.732822577555,411.88770808108,400.33053278212,423.720310596868,424.015861075021,450.467504318353,439.467471701545,460.283328165514,451.956408615179,464.294888504777,454.583601898543,483.449830383517,490.265038682803,506.523941065925,484.148954104771,490.374324450353,490.004051687439,503.809390409202,490.008968600756,513.191073417064,509.701430943759,521.91519616749,512.600496555388,517.338427656054,503.993758456234,502.991820684141,504.303329289056,529.957211316061,535.189138343855,546.712549239684,543.02841691461,569.118770882662,571.919308599966,599.869489736682,589.581510773934,589.810986756408,582.933089226275,617.148670538625,622.350295980077,656.747176729377,654.569786534485,651.34637537913,656.284611997867,675.139315911123,668.260006162703,681.802907854434,672.129979640203,703.693534265749,699.861187349195,698.067110312497,681.97857605898,703.320168247818,708.478875623383,728.12635962301,711.981853071513,740.541527143623,736.668378590255,757.794719302747,745.228582716983,768.345212363474,760.194550331971,775.229630637356,777.175923561055,804.094037525549,792.866452845103,801.709903951637,788.119545515933,819.551697008342,816.993695909345,829.880484678943,817.276394933459,837.902873812633,832.699975168833,863.236674947927,860.056419578406,855.235984161579,864.270798181152,874.427133692037,868.856158226816,913.824150067928,923.799021908396,916.263423517859,890.71480564127,917.501384482365,933.012695584717,937.658832178259,943.339785200282,978.354335312817,994.371748270559,1008.22792730612,1011.58721327311,1009.63865994491,987.415352543198,1035.25703140256,1047.7196960763,1050.59989885953,1049.78090422477,1087.70154558276,1074.63593684869,1087.72482784271,1089.17765904214,1086.99590333436,1088.66449020883,1147.96590869587,1141.09991845431,1137.37713151069,1138.0216678842,1161.88898723717,1165.14200818935,1162.22465913481,1145.3127157551,1205.03886368991,1189.59034677673,1224.61438968469
2,"Labourers",988.04606553882,987.372120058539,970.884292475407,989.636694252515,999.440900270225,1006.39290577794,994.759778324862,1014.25226468174,1041.80588524105,1048.44327195073,1050.97117152231,1076.68582053051,1085.44427808982,1074.42610077561,1067.94391386316,1075.20452532581,1076.57312473946,1056.92586962989,1025.34920631965,1010.44803310489,999.202020837805,1009.88396724644,985.368180468556,995.65333392021,998.152764166049,984.671940199469,970.337115394793,997.222931664796,997.553599078625,1011.86998334289,1006.5481652732,1020.64805997209,1032.58443959928,1068.96814611185,1046.2578549428,1071.44513652474,1091.93094404982,1075.26019812934,1059.0579873547,1064.76055389537,1052.00341653033,1039.70540000393,1018.37542980539,1053.03301411002,1047.81907500941,1031.59470278556,1022.45177227827,1061.12578323622,1057.06349044014,1054.30684176475,1030.84206741256,1066.55119145399,1062.27955905777,1071.58048287235,1046.80371097527,1082.82072083967,1064.94942050621,1063.27801115333,1037.71808517903,1048.72332760557,1037.07385177326,1053.92095192405,1040.2625740625,1091.16804486736,1084.60601657883,1084.90862738809,1065.57344073135,1090.10681422015,1094.96047316674,1082.37190274693,1071.29436704182,1110.39148763004,1103.58889589945,1114.16949678251,1092.52014153282,1102.78865891168,1104.14307075915,1098.78038224707,1083.36321072634,1144.17475482491,1133.98738026626,1152.34362788752,1125.49003700381,1155.17698388206,1144.99559303026,1155.62222798787,1147.15399654567,1163.59358010206,1160.46060208027,1155.64301569368,1133.52003600497,1161.60767520001,1154.86922433884,1160.21376905403,1135.9521577413,1131.81898905863,1155.69126200003,1173.22081381438,1144.58043594307,1158.49895590553,1134.61791782971,1130.74390020859,1120.50912545065,1159.69982692613,1148.5325770019,1149.81367055732,1123.0682777942,1129.68639701153,1116.5588215167,1129.43850444802,1131.20127751434,1132.33877022264,1118.89717537213,1125.91016294825,1115.31829376936,1120.56193812388
2,"Machinery Operators and Drivers",597.792816184573,588.374408740126,589.100063354903,591.788488356898,600.436669296393,597.768911118784,606.22814779356,609.632835040193,600.576709959192,609.582146790447,611.193719572443,629.355996336624,617.348519616266,611.778785961514,602.462689301325,604.101654095162,581.60132261929,587.512435350986,583.399905965674,579.228870890746,561.648351718778,559.114716946784,552.91335575646,567.329083925313,539.153244419998,554.164829344682,556.809249958617,555.748588977429,569.925489556147,579.98254351105,577.622784671071,593.751307650876,578.901402447784,590.965229785273,598.322203154373,617.341224451489,605.8395465727,593.22121124072,587.979721379876,632.987991739489,631.976619087236,629.512451356421,615.575248873282,614.45546225072,615.745359352501,612.219269944709,608.966989946589,624.93124527978,639.947900769904,629.340984998292,624.321608806434,617.339826830184,613.216271098742,617.619115586623,632.267259997861,621.44530259508,601.572286162726,606.370442934993,620.356093521418,633.127964284295,610.582920450122,625.940432118755,622.597155932691,626.458665014433,624.567754886217,635.563548954112,632.843125038254,633.399779019872,607.82178858012,625.430326645212,642.463320270748,643.9144633076,640.621498197616,637.60170437124,646.489317987239,642.831178341556,630.229743270114,638.980387175689,651.840960133008,666.304686493424,680.57325601693,703.564606296863,707.446059993196,719.302256433626,722.538232057168,702.207238909766,720.020359239175,728.681960466986,727.688599204027,713.795128477121,693.079056340903,696.451800082392,665.498140821175,690.990009269208,707.150658179857,714.965318346955,704.202129813153,713.95030991653,730.332475446349,758.011024657194,774.513830036231,745.042541340957,730.946523050964,733.048922235271,766.293211451524,788.114737767057,767.464046209839,767.495503072918,768.21178286874,751.996351395581,740.331298380924,747.839444435586,749.27281395385,744.492487112146,768.390889648044,738.824013753036
2,"Managers",882.592200876124,873.282665896918,885.857442024263,893.738906629813,894.347704275678,905.336802449662,919.746370546047,925.818387603956,936.280396294949,940.863699595397,939.189026469439,937.142581824813,960.326663771795,976.173243854284,982.486481808042,977.98184077131,984.566671867145,977.488150454063,971.91750360942,954.637284594193,970.854594238784,951.229447227161,950.219831802336,961.317017323368,959.989931909369,964.138051985871,972.964010415041,983.18580874648,1000.28086013031,986.040740672028,987.736807815077,1001.49704545208,1010.00471080978,979.229678684172,990.405647029969,977.802856461258,996.37112896894,1014.57299042471,1008.11484023802,991.388809464637,980.118084224555,980.676622065168,983.671402856377,973.210633720017,982.162153867892,965.809579988077,980.537973600554,984.92548112697,993.467920787266,998.132221004538,998.440665262191,1018.93785308237,1038.91429849259,1047.52300878393,1028.57952659378,1032.32570269248,1054.0170394769,1053.94654869498,1084.1492968513,1100.82264610653,1152.67054189873,1159.14901487476,1146.50959750705,1112.80742854035,1109.26795424432,1121.41534156895,1136.63364816479,1130.72202037289,1150.92433870961,1159.38533101344,1155.67071429781,1186.85397040552,1222.03462803539,1259.04875758022,1247.79419832132,1252.09913700531,1253.53191799627,1289.72415168024,1271.47415796847,1277.47097083016,1307.35695984098,1315.88213712415,1320.65824764761,1346.6061503099,1368.21022916765,1360.93917400057,1375.12554153131,1397.72396481044,1368.17080572053,1377.99753565053,1400.14106435383,1406.5822310064,1437.96801384324,1444.84022188339,1475.87016415079,1462.02416171784,1443.10583854262,1419.75797088838,1436.6555086136,1450.49136814143,1463.99644593148,1458.97192556779,1484.6078776394,1451.69430298794,1433.30711574164,1431.05511567467,1472.67603810416,1459.3895116878,1480.00918047624,1487.56525299612,1495.32113946483,1535.47495230935,1526.00486909098,1549.8165206672,1528.45640426058,1537.75995723271
2,"Professionals",1074.69822515216,1106.04683698749,1112.19652893398,1111.56094420267,1105.78704784546,1140.75112483259,1143.81544678284,1146.39709219783,1152.22604214237,1187.10025130748,1211.43877637936,1209.98096473912,1219.94216675508,1252.90932395626,1257.04710071532,1269.71106038566,1259.56094649844,1285.18322255541,1288.32525169909,1298.05947814395,1278.19890676393,1297.74629965887,1304.63273593133,1312.74128325756,1304.64471919003,1306.27544524889,1285.01796298478,1298.74523070755,1300.32951370235,1325.69390548063,1321.90397438094,1330.88115968078,1339.50540540495,1368.37338994109,1398.29286605065,1408.8022747128,1441.2466058792,1463.06745471195,1456.07492672222,1437.88637309648,1466.21890952619,1477.33880944152,1480.14895744731,1495.70550911713,1516.68094101998,1545.3450677507,1554.05975405836,1550.39209199878,1580.13308466603,1625.66650225473,1608.03947310635,1590.60007244438,1616.37794939977,1652.7195157118,1681.99808281818,1693.46690858362,1696.63391826897,1740.16130562806,1752.81813713115,1751.52826192749,1741.04280590757,1772.30827104783,1792.90904713124,1813.72469785763,1812.76680460329,1856.79365575127,1836.96392889085,1830.57711951602,1854.90664208043,1901.20122368814,1924.02971552496,1896.57470695424,1894.17599790589,1907.85534357205,1951.47348885478,1976.46830111131,1983.65630657163,2048.47047869493,2075.96203435081,2051.00115076259,2052.96240076083,2083.37322309259,2117.65394677359,2129.1078055681,2159.58135766008,2238.24409010638,2234.7633909027,2249.15098922497,2254.86191650811,2278.99725662695,2254.59786442586,2285.10005620109,2321.30017137217,2399.87295050398,2385.58093193693,2399.4245932298,2384.71381032779,2457.52978430726,2479.24660418462,2438.30257599943,2421.23325549469,2492.4531829829,2554.3548377207,2533.98929782149,2540.56413141089,2552.9620643502,2574.14750060828,2550.55999504602,2536.20830701148,2592.30632775761,2592.10397477026,2610.51118761553,2625.2575625076,2683.13531040872,2718.69681996477,2719.64554469399
2,"Sales Workers",973.441582985072,979.448728014104,963.516075390069,983.297048449079,993.064719602704,992.323052058134,968.537109679309,992.652755193771,982.03773834821,1008.93420716908,1017.05908764191,1080.76245964315,1074.41418111494,1076.64618855262,1078.57992212522,1083.18083196224,1088.22265646261,1064.40532360471,1028.45829182843,1074.67829483454,1046.92738209356,1066.09077507533,1049.35577705179,1048.06405155396,1046.82873001123,1044.15783899582,1037.7936515495,1034.87754584015,1025.22398251843,1045.64144142299,1081.61425829754,1094.7768047629,1095.19023711784,1129.95110489116,1131.52958512592,1134.44095703842,1131.94954671737,1159.31178534492,1172.25850887153,1186.22876804516,1126.39700817633,1141.29234621528,1131.60194955816,1140.16113306232,1177.98957159317,1192.15526117757,1182.75940637542,1189.80790667971,1181.33808398029,1202.03473654781,1189.27191208605,1203.31191488883,1179.94060822342,1187.32055571999,1174.23449430412,1226.34830448744,1214.98220902033,1227.64036500823,1207.6293934265,1204.93252562853,1204.78411520459,1196.33421730309,1220.88694979269,1265.03420488839,1286.7048608597,1296.75691681101,1284.5170967353,1290.01180284819,1263.89010214633,1277.02625378804,1256.29500364767,1261.34403431537,1279.6519143581,1320.17310117943,1325.48003252315,1354.93073667573,1361.01548697814,1335.06466011116,1324.34175420677,1352.94358143053,1309.80272921244,1314.49806065525,1306.36317973208,1329.44997012512,1326.99489107198,1337.01407299718,1351.12335566093,1365.53321639218,1367.5289060131,1364.65417380076,1363.47116145823,1381.78520719496,1360.71723985922,1350.24531686121,1354.54219359143,1419.18707279474,1454.41804915131,1441.38144329602,1386.73964860441,1421.17850236383,1369.67224239937,1370.23432993672,1355.72282327881,1396.03950249067,1390.94864880114,1397.26655070482,1394.67047649135,1427.24588175899,1407.53041777165,1414.73438135503,1387.62691024496,1438.33963103415,1411.5910048647,1407.50206142097,1436.4274769235,1437.75123771572
2,"Technicians and Trades Workers",1266.24143537255,1262.47413658032,1252.0445539944,1279.86882729528,1268.86961655073,1279.06666894726,1286.65628101009,1328.04816380471,1333.63943611603,1361.76981908195,1377.37453839848,1382.95807759885,1390.95265095284,1352.68402034374,1353.30889653601,1363.13817066044,1337.22543985223,1299.62393687557,1274.55499717571,1281.77912636631,1284.91871129977,1278.23341398291,1260.8826997618,1272.99999271358,1241.92325407318,1242.59150058351,1254.05864863189,1271.62195394022,1283.70170899529,1269.67832155679,1246.85473160862,1283.73975583079,1314.55439231076,1317.94625945201,1313.93874776271,1326.41348410591,1316.173802705,1331.94748102458,1315.21436596361,1328.86895627832,1318.92181049758,1340.07512857401,1328.55175195289,1312.08952384002,1322.48902415791,1350.58542605594,1323.36076462482,1315.48526242157,1311.46982140669,1298.54544138142,1325.05590394489,1356.17099825353,1395.67422416903,1364.02236406265,1367.25765746557,1379.78312782683,1360.00617671128,1325.07358793995,1331.14209124474,1350.37560463262,1360.61771869982,1358.50675739504,1346.36562367441,1351.96408264412,1370.59124912363,1401.157824037,1392.07113661192,1415.59804598664,1426.65640096366,1442.32751193791,1424.67198521704,1416.56559601475,1466.87623282026,1492.76357733054,1482.31161981259,1498.61736047456,1513.37322235776,1501.15501730372,1521.42117870417,1548.80989443565,1574.87080058234,1559.10562423984,1578.63711367892,1599.64558585957,1620.81569596337,1649.72611639866,1598.00760664667,1655.86413680952,1656.0841525205,1666.96228483592,1613.80345966183,1556.62073349799,1567.82828816373,1595.78634613777,1596.213391174,1635.47361815958,1650.58810894482,1675.23738253791,1622.01771604368,1585.43180381537,1666.56655226966,1670.01956532899,1659.09015015795,1667.03349091738,1671.89212714201,1664.46543764961,1647.88405039679,1663.04556246749,1680.37229163486,1679.80510003393,1651.50638001393,1698.90949811206,1710.67380977756,1706.20074804994,1701.62744208202,1717.20703182162
3,"Clerical and Administrative Workers-Full time",695.342284425438,683.094148725236,685.69868109748,691.440670103961,695.788796874846,708.34635658721,713.367278560738,712.972551641494,738.339868389274,737.944361820142,743.297113063512,741.345074190296,762.814810761912,752.730148557033,742.839290346029,737.764124084054,752.557944567365,743.631487508641,731.902410285276,730.608889284284,717.696045771248,702.624133344349,694.69772847114,695.900338233362,703.67454079945,705.031358484944,704.238545161215,705.908240838826,722.94137619634,717.539524335877,732.04945874142,737.941890658036,743.349238941526,724.760558326647,718.203360675848,748.061448249071,751.674709766021,743.844035265828,737.677403280145,741.883240598606,753.071337939189,736.150377559342,719.834489027736,719.63903450622,754.231261466917,740.399354930015,717.209531252041,722.901784369143,728.369304906657,722.649675882062,723.776450533275,738.609006079515,757.651165831468,750.812340262828,769.549541252903,788.675909248561,813.9782944315,804.473570415654,775.501710818512,761.840859994147,766.785865393841,761.171864168507,728.736704710307,742.723242469444,763.446445882637,758.295064847104,749.328947966243,768.179159438499,780.965989359523,757.89782702822,756.804506102513,758.206069008903,780.900179936439,781.738818170773,776.687426794295,776.430156210648,775.159947628573,767.737587623286,765.090430804206,796.195034935328,823.851492410687,819.361957195887,811.564938609056,810.351065700411,822.140337506358,833.894992849501,823.750052784604,827.141387242113,827.548691921231,825.562497089327,813.789690495893,797.947669362615,803.838594057624,795.322939003969,796.982034081563,793.654598846138,825.486874733912,804.535116713946,810.441350957522,813.966911897458,837.538996446114,842.055294734709,846.152918731438,847.387156175067,860.326611633889,848.156645044574,829.794470164759,840.280329576427,853.781720632385,817.817685366992,846.881351323085,822.874600494358,824.484545093185,813.37041292221,793.4959076087,794.269916144353
