"Level","Description","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104"
1,"Aggregated",7037.28095487626,7117.1054460005,7083.29771291874,7192.71509384183,7184.46092080008,7329.83225866293,7345.28068187767,7470.1501631747,7535.59143685382,7673.68070950577,7732.35582717803,7850.14802444118,7895.81370639914,7886.15190713554,7870.96987252891,7884.59993707755,7785.08965889307,7714.52879568367,7592.25943841131,7642.95001816428,7546.28754440645,7609.84282253063,7555.64932227126,7679.78089555835,7550.97906731693,7546.80222003078,7545.51921680401,7663.00266357059,7748.00327786324,7823.74846656366,7839.58727363503,7975.12611350079,8027.55994035331,8151.07569630338,8163.04163340005,8286.48848360106,8324.66110756686,8324.87622958806,8247.63003612104,8339.13598153893,8290.80041464502,8335.28137735099,8268.26821234051,8309.00979815833,8455.01767421269,8495.11630818807,8446.09274785499,8541.21573474634,8548.28859910269,8624.64973244569,8565.32114802467,8690.23603859818,8775.75511792655,8843.80612084579,8845.74775563729,9030.7605167646,8920.2769781744,8976.33143539552,8959.95414354648,9058.30642296237,9047.34008646935,9163.06586858038,9100.33558299039,9243.62144651636,9300.8660340524,9477.34494957126,9367.35029714013,9409.10267825457,9410.51871213699,9496.64017114073,9500.90304366278,9550.66311352997,9658.82722222229,9855.37407909715,9864.87489862732,10002.8204692465,9966.05355775181,10038.4039149625,10059.3604603812,10221.8883809761,10222.8794304166,10373.1764596937,10416.082910727,10534.4856494587,10561.3695567338,10728.9149925134,10688.8464352723,10825.9747963131,10763.7629788458,10842.4032683956,10736.6108912494,10765.1853399563,10801.3086849171,10962.7621929959,10938.1213727045,11082.0222504843,11173.5576825275,11247.6491157227,11172.0572772863,11206.3641941476,11172.2020889685,11295.4557967804,11376.4281852768,11363.0344113367
2,"Clerical and Administrative Workers",934.772668001343,942.847196596888,937.995089537923,943.139845760083,951.459803184489,983.641892828526,993.374885581691,988.667976508488,1023.32470779615,1032.98604704138,1032.81430982132,1034.71392704919,1061.63301434266,1061.43270755894,1050.60615602232,1037.02121712358,1043.72592836105,1054.6276536983,1037.94073516096,1036.55523138017,1018.76375795332,1010.57533798516,1001.515475148,1018.46962539855,1005.77549345008,1018.08738145937,1021.75896967493,1025.86836904423,1053.11197515104,1060.02879479996,1060.64286811071,1068.60603467853,1081.21918859861,1087.35236866922,1072.80927516561,1102.05916360481,1104.08357971061,1110.92583702569,1099.23192782573,1104.76888195482,1119.61070761923,1113.78492065663,1096.17420468231,1094.88200227758,1124.86800902889,1133.25478203228,1108.11913184775,1118.75539969094,1113.12620074969,1108.87201901716,1115.24889817084,1133.80875580436,1165.14064028286,1171.50497441076,1188.64466487539,1210.8125720262,1222.00480607768,1227.99010843182,1199.7573786013,1206.79702709955,1206.72274914141,1215.65496229147,1180.93688641278,1185.15228092899,1221.95590048764,1230.71496351329,1222.31523864561,1228.74252136883,1233.79812319708,1202.21908184865,1201.93525105478,1196.05973359912,1223.70564433384,1232.77479840696,1231.7578496842,1250.60609484217,1247.16167217759,1254.02954628547,1252.67588873229,1265.01769202894,1277.0188499972,1283.05786825925,1287.04812224774,1290.0640749715,1303.98737818098,1314.81059220914,1291.5027988325,1297.01399707209,1301.89579771608,1315.54462763622,1307.58096669965,1285.38378572595,1293.22701938845,1296.49633504087,1293.9960467198,1272.32514266547,1302.9489392659,1288.35908467078,1307.02613385645,1319.11454083198,1359.5361970467,1356.01519482834,1335.10727629153,1347.14137822661
2,"Community and Personal Service Workers",377.657991234348,397.653555844893,393.718032570265,412.472865569897,398.522622593923,422.750275614274,425.319918598206,452.052887180029,437.954599804819,459.05058534136,452.10249387638,463.823998218762,452.773950883174,483.177110866893,492.555181203671,507.034022792844,480.947058325927,486.906762781363,490.663236507416,503.645267522046,487.752134181098,512.09812828508,510.500235724424,521.582050108014,510.878386472948,514.020641078448,503.041204360313,500.588608242172,503.475381636952,529.509178026297,537.250341633017,546.582199474949,542.074954995837,568.696230449059,573.675115635065,601.759069815047,588.2393091471,586.007339543738,582.695994320702,619.389490093702,623.060971367535,657.753170692624,656.00815090648,649.19405193986,655.970101355107,673.936045506641,668.604062950483,681.539601669319,670.38252785483,703.786609678087,700.885286753638,696.005587916591,679.011529102523,701.841172748519,710.297844406463,728.976126491922,709.664247821171,740.127050580348,737.576659770678,758.627824230957,743.362502357919,767.339392835591,760.425214447562,775.136199524191,776.949599839363,803.94142616694,792.896725857044,800.782813542651,785.729052006025,819.488853267894,818.149699386925,829.722862555416,815.185052327718,836.532737324863,833.226464094134,865.185369286404,859.638651848582,851.003322663699,865.964684695459,874.045860638527,867.612730859615,915.743328229445,926.994694442538,913.964656010737,886.494516747746,916.437093614819,936.244919682554,936.922349266639,943.446520196647,979.308306737604,998.118084728885,1008.77348658267,1011.68029899857,1005.87957223426,985.232848303962,1038.79589040076,1049.64738715728,1047.86819121504,1050.55024411183,1090.63780447121,1073.17646569282,1085.52851422369,1090.35469076247,1084.92040919473
2,"Labourers",987.565888048793,985.545356427374,971.937750189372,990.794341345894,997.54834678686,1003.92517017275,995.506002977276,1015.24322104978,1040.02965879104,1046.03786686641,1051.94223486668,1077.89617114517,1083.62977849359,1071.90776490883,1068.87267862845,1076.29986583264,1074.73666716855,1054.4051256197,1026.10234136913,1011.33172228547,997.239761298094,1007.72753348861,986.411573709332,996.990270306221,996.576087549561,982.461876177614,971.528763883392,998.847989193584,996.110548892934,1010.05471047108,1008.02471564924,1022.27865132586,1031.3030002038,1067.48186830066,1047.69682698342,1073.20649670662,1090.81331790158,1073.28333010392,1060.40309782554,1066.29374231512,1050.45823531994,1037.63081973334,1019.64137393247,1054.86051254228,1046.47527304873,1029.56187564088,1023.8725057867,1063.0614255355,1055.77915165496,1052.44712256105,1032.17743012272,1068.42765418315,1060.97535883397,1069.84709218781,1048.17471425968,1084.71654629866,1063.50856112684,1061.37784427988,1039.02037851197,1050.32584250863,1035.59320181498,1052.20744617501,1041.76375988095,1093.27594590068,1083.36924177845,1083.10805959185,1066.98119589967,1091.89609772957,1093.72919738353,1080.43491433156,1072.74059894297,1112.35249570951,1102.29643768832,1112.45991165789,1093.93671828236,1104.42791993278,1102.81949440498,1096.88764083006,1084.77891798223,1146.35894492552,1132.74232153806,1150.73585520787,1126.88778884925,1157.01871969936,1143.62351429342,1153.88398358888,1148.70121565782,1165.34804441892,1159.13241483388,1153.75463207798,1134.86400480603,1163.41234480368,1153.5213350127,1158.42788818004,1137.31097630803,1133.28186635866,1154.54694831913,1171.64226798478,1145.9689357566,1160.16744957043,1133.03537019051,1128.7718718055,1121.94980545668,1161.66052780257
2,"Machinery Operators and Drivers",586.033695299485,585.895216077813,588.79028882771,585.729519335348,606.067304624758,597.507633131836,605.821707395821,603.51778041306,607.180389722458,608.818922438636,611.092413516714,622.470003014849,623.999539883985,611.829460660965,603.086106079179,598.239415776773,588.985615859941,587.037617105663,583.656661510513,573.634447519494,568.798373184238,559.072989669325,553.350888847914,560.7334741571,546.739416848677,553.217858045789,556.62102680823,549.918792881053,575.279506208203,578.977997488714,577.703831179294,587.007820273083,585.726149204904,590.07009568606,597.880809657111,610.361783611591,612.442005031685,593.658559319435,588.433293989545,624.706170508729,637.805682381189,629.271904637066,616.404146823366,608.784536927264,621.837441209038,612.077729197704,609.218935022001,618.227631937025,645.128160269137,629.454999982302,624.708044153403,611.924179291828,619.650877904709,617.089144426132,631.470658015264,616.063970713502,608.883202568533,605.948025984387,619.615504008963,626.449425915613,617.84657498306,624.925772761153,622.727599314378,620.405129368889,630.779059439488,634.635078578774,632.951870784755,627.524989058527,615.36954130531,624.33660940269,641.45510084957,637.824985881011,646.900949878472,637.459857452965,646.075859105026,637.112056158936,637.080188175971,638.271194171002,651.12513484772,659.537596906314,685.779845981006,701.822044790991,707.073343663257,712.72914483271,728.384002912167,702.958170272021,719.248587814734,722.225538632459,733.789097356573,714.223798109563,694.392079451898,690.598321275995,673.348031931831,689.501477139593,706.136181569736,708.521315793413,710.842157504665,713.153086852787,729.410346252265,750.482551915834,744.543149825382,740.955797503656,731.219336340371,727.113068029069
2,"Managers",887.873059646724,873.806268002815,886.663655870589,894.291023307345,894.324834046921,905.888758835598,920.687955829256,926.279193628098,936.921946452854,941.141638826668,938.934251502958,936.722279780918,961.626494849269,977.410830219592,983.041219359157,977.601437626833,984.716341460324,976.821784568824,971.142811671175,953.015983224969,971.352964487407,949.778193612496,949.558995223335,961.709668432597,959.790281327667,964.165900975606,973.378445260539,983.799059802118,1001.42649929858,985.135630434234,987.408233086335,1002.16285345037,1010.56391206311,977.015310623073,990.396861917593,976.710222211259,997.173277490819,1015.84599338251,1007.78747846242,989.924457348487,978.737344977563,980.144874970465,983.532576577724,972.234409260031,982.323439536192,964.500440270262,981.016046376079,985.149148919592,993.915284017473,998.36709388531,998.315382885516,1020.12925332958,1040.41417090616,1048.30893083184,1027.25251825642,1032.03103223761,1055.24723930044,1054.05520030836,1086.07985095051,1102.28473507701,1156.46798095637,1160.38681686813,1145.74012475459,1110.03993708252,1108.08552028959,1121.74498856048,1137.57418570488,1130.34568760878,1152.02811649429,1160.05620591798,1155.37703895916,1188.74665246285,1224.77935188065,1262.14439298476,1247.60760312388,1252.13984005582,1253.43146888717,1292.01615090336,1270.58768309197,1277.44630419676,1309.22785050008,1316.75652800079,1321.00927774086,1348.29969613237,1369.95171148696,1360.67474871172,1375.83516004396,1399.276681234,1366.299227048,1377.98121942453,1401.47186574626,1407.16838215712,1440.10232306395,1445.6665740959,1478.04199015798,1461.41173953566,1441.40932583412,1417.46811399353,1437.02346120756,1451.34187069596,1464.95014865736,1458.65743570575,1486.10400785188,1449.57256552526
2,"Professionals",1074.25577680837,1107.04162619489,1113.04039830022,1113.93146179726,1104.13781340352,1141.24968995276,1144.480191772,1148.63077151683,1150.37638468844,1187.50984146107,1211.8386163855,1212.17208418746,1218.03849871563,1253.32597292056,1257.65570114916,1271.80791171745,1257.82291665472,1285.69897718421,1288.9379116247,1300.14709398037,1276.51330662681,1298.28716353442,1305.1567116138,1314.762161102,1302.76578648059,1306.89468992279,1285.79410321485,1300.70362862205,1298.25120293776,1325.94109287214,1322.34599498359,1332.76564060364,1337.31832336807,1368.54445800435,1398.37133151246,1410.59202094329,1438.8334053641,1463.30616939536,1456.60932223388,1440.13106245863,1463.97544243026,1477.71075587609,1480.58545484102,1497.5471374189,1514.38885111683,1545.5285050719,1554.39974366429,1552.42748707551,1577.82659919766,1625.69323891764,1608.62964385165,1592.86214613732,1614.17367989799,1652.85295169397,1682.12169485026,1695.30965209829,1694.58115139739,1740.30894368381,1753.15608295212,1753.5910298139,1739.20381434195,1772.63473273458,1793.19543746572,1815.5261806384,1810.75142740835,1856.9516485606,1837.63493331498,1832.7646715977,1852.71587618935,1901.25746310416,1924.22219164067,1898.85140965408,1892.29659025481,1908.32174316113,1951.53150148414,1978.13575154539,1981.50656810214,2048.37555232351,2076.10011791345,2053.28195086716,2051.09039276137,2083.72584225624,2117.8382395574,2131.00993176294,2157.3139589485,2238.03297838183,2235.25142947144,2251.19001766822,2252.95402843878,2279.48466453799,2255.48995934892,2287.04416555903,2319.0064873599,2399.67541677584,2386.20284073283,2401.51950411352,2383.03437775222,2457.5813835791,2479.56612462375,2440.86643631485,2419.68757604315,2492.5141413713,2554.22124702332,2536.19332570814
2,"Sales Workers",976.717393062959,978.566368478163,960.914642079596,983.703995152281,995.331509599442,991.007829689648,965.433848583442,993.333916763657,983.006731079475,1009.37738656764,1015.99556307309,1083.97314733275,1075.66218227457,1075.51742584825,1077.1156103862,1082.62285713561,1090.18480201892,1061.61863613558,1024.57497059905,1076.76545907748,1046.80908214317,1066.0381469131,1046.70543468361,1047.12720375514,1048.39079309529,1042.71979995575,1035.80089686167,1033.83906132173,1026.24967989929,1045.6740121681,1082.32581993919,1094.77134528847,1096.8600445641,1130.89899454447,1130.05201563864,1133.77425220077,1133.4312422918,1159.78776265438,1171.50471680884,1186.2685996192,1124.22523520434,1140.96209994131,1129.40380730864,1139.85294859179,1182.04153662098,1191.79878253017,1180.57999421191,1189.40179615744,1182.43862101277,1202.08570268958,1186.87984745615,1203.35053786213,1180.09248027557,1186.52040917211,1171.81980206322,1228.81415464008,1215.90701403982,1227.1793108049,1204.77364591155,1203.90331940205,1206.41294269742,1194.53102546664,1220.86848288591,1266.99961053418,1289.73407645651,1296.1363554923,1282.15635349212,1289.50487149494,1263.86521286416,1276.59333379744,1253.39459823929,1260.80747062869,1282.45905854606,1321.49566007357,1324.24518578694,1355.95340520989,1363.04727622697,1332.14750646566,1322.07159066308,1353.90871701453,1308.69781328492,1313.52486133964,1304.26472202028,1330.06522650816,1328.4823323441,1336.38886964193,1350.4439938089,1365.59948859397,1369.29802131223,1363.20768648286,1361.81486111401,1382.09685986407,1361.01738732283,1348.31015059241,1353.23427836457,1422.4534949557,1458.31641939869,1439.2934622185,1381.67285331768,1422.50657985773,1368.03696911393,1368.99742618258,1353.21713115894,1397.75193468543
2,"Technicians and Trades Workers",1265.4741932226,1263.04553547579,1251.61547572366,1277.33415234655,1268.77918415713,1279.56220703228,1285.91166725485,1324.98617322483,1332.93949166326,1361.53082905566,1375.79824702089,1379.54665956336,1389.99932071494,1353.08439564217,1352.51690984552,1360.41673250142,1337.32013761115,1300.93881936273,1274.97305333188,1280.31083361443,1285.64918287645,1279.70940306708,1261.36199136807,1271.53565929976,1243.09266929962,1244.35024540463,1254.43912053943,1269.99732245437,1284.15767191155,1270.99875986261,1247.27600017243,1281.87793054105,1314.56814133324,1318.66542843517,1313.52945572586,1324.0624541446,1316.34791300685,1332.65835739243,1314.95565303068,1326.63665351806,1319.20497927352,1340.81943006865,1328.24716823989,1310.24170554824,1322.83017420118,1351.29757688468,1323.22769600147,1313.67470629969,1312.03937638998,1299.97294743551,1324.89392217849,1353.75660251867,1395.18734539072,1364.7746312171,1366.74439141471,1377.26485832446,1360.23933047606,1326.50003527915,1331.22957307755,1348.35623074486,1360.86572843207,1359.5357188756,1346.31064570809,1349.99513849294,1370.77787545199,1401.72728504852,1391.52713037699,1412.85590463984,1426.33848595,1442.65826452822,1423.99330818687,1414.12282063442,1466.31969686411,1492.77287832197,1481.20615583768,1495.34636985179,1512.65871877275,1501.5255216445,1520.2244141263,1545.23880937197,1573.81565903616,1559.24696649964,1577.19595078441,1595.86757008059,1619.71849738444,1649.29573292689,1596.9255844865,1651.84433685031,1655.13218388525,1666.91004117533,1613.06604787533,1554.59113803881,1568.39185282785,1596.84428913256,1595.81949111804,1632.35908451792,1650.23591509597,1675.55364657604,1621.60540645579,1583.38425898968,1666.24415462903,1670.63770116832,1658.39053208399,1664.01643361414
3,"Clerical and Administrative Workers-Full time",711.470857382148,677.339629997463,680.347504122611,687.486669234236,685.88227554216,703.726024255398,711.116332912457,710.999868206741,733.854361371362,734.315431344092,742.858017983751,740.901902603708,759.30842424366,748.994163034038,741.149233831598,737.478752764117,748.887001363559,740.70994910342,730.716367478612,731.507328146384,710.743313361056,698.574029844169,694.208876505007,697.635890757948,700.174296075317,704.31398404377,705.685339038756,708.306983547814,721.091788790847,716.340431484626,735.747607938468,741.530694643488,740.173336583424,721.486804209709,718.528591002586,754.504548646292,748.89003011018,742.263600445394,738.455547042608,744.764298065225,750.701626292253,733.381680399288,718.942287381762,721.578550888473,755.077967397054,738.753852826569,715.573963344567,725.558105028134,725.176028451185,721.372241706573,725.739101599068,743.325585151879,756.843652811271,749.863292890072,774.124399230893,794.544825636621,814.310153687977,803.371221072784,773.161407007628,761.579816045788,762.945298572025,759.79512273897,725.850721548399,746.349465464624,762.677405665155,757.611764639025,749.971472379268,773.222285557098,779.338322711716,754.454111675648,758.023117087726,760.848898580781,780.217851644635,781.937764130026,778.072839367875,778.865777639738,770.976902501541,766.035275255397,766.43931536058,803.151101245027,824.759626776469,819.111889905175,812.45983851299,812.547194373145,819.792902173292,835.330046140503,824.648833357114,830.003132116968,823.694049189384,824.709946206228,813.991535447261,797.895400693933,800.188211915143,793.573443105263,798.9440543152,795.767631674918,826.020143215575,801.837909716972,812.822219313468,817.151711568539,837.096626295082,842.833482460378,848.974708238011,850.327146295656
