"Level","Description","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68"
1,"Aggregated",7523.47706013208,7612.98370989892,7581.9598657257,7737.37596885256,7731.71906993101,7831.80092442836,7827.01733508026,8000.95361422563,7991.74087860273,8138.74524121901,8133.55304951719,8289.42172680446,8288.60620483901,8338.38461895619,8278.56175336513,8396.18088777141,8309.82527619117,8385.06350532525,8319.92442443528,8385.95057048313,8456.25092250447,8502.11721487474,8463.07385450952,8602.31282029788,8549.42400073772,8645.34814172496,8591.33931387825,8746.96764821753,8758.98273248303,8837.98067246195,8848.71728058487,9047.66202333465,8910.76693491846,9010.14779967319,9000.49079796588,9097.33085714793,9058.98848581115,9181.82470988206,9130.96777705246,9271.36007060448,9293.12099762496,9450.29400891534,9375.35665870374,9450.83139995158,9447.57879478692,9511.3356459744,9524.79776136471,9587.04023741158,9669.78258938321,9817.68532283257,9827.33765598823,9990.74693353299,9965.41408547513,10037.1670376941,10061.9700713839,10218.2098798968,10218.1576720828,10351.665997463,10389.5102909318,10510.8064713703,10550.924893795,10696.1775146519,10665.1328014264,10811.3783533865,10780.1775039548,10851.4860668993,10772.4401855677,10812.9782074705
2,"Clerical and Administrative Workers",1013.25906818789,1018.53761315801,1030.64499509553,1025.48777502038,1041.06338141556,1056.22583040699,1069.19198859796,1068.62874762936,1070.24776510245,1084.37731439019,1082.51837922574,1102.28012129038,1093.9655131919,1108.62657035541,1109.49604263392,1106.25855213524,1109.8824044637,1112.37710042727,1107.24340922956,1097.17170340867,1115.31055269672,1131.88341761688,1119.7911288472,1121.21958166313,1104.97354037582,1108.54014867831,1126.61950468825,1136.31657462263,1156.27903989397,1171.01538305882,1199.97308250965,1213.49575822487,1214.03055407006,1227.98725645042,1212.7415814067,1210.55637673832,1199.57357133924,1216.01707686634,1194.43152856761,1189.35158138719,1214.10240274465,1231.14485178563,1235.29705325981,1232.96336077788,1227.04411609528,1204.23730004288,1215.25434349431,1200.89787697537,1216.65019102299,1233.75384759309,1245.02745919658,1254.89754814129,1241.01056056363,1255.43492159715,1266.20375277525,1269.70276842621,1270.66534826863,1284.57678271636,1300.58512133281,1295.14373217766,1297.79710470669,1316.35433197773,1305.93368273672,1302.34924263487,1296.13362723034,1317.22436634531,1321.71935693411,1291.53670253972
2,"Community and Personal Service Workers",487.128402643697,495.964895998143,503.975537655036,502.758386138655,515.090031698838,520.918173528486,535.330631676399,541.28843102753,552.744567389091,559.171598288181,572.58644549936,587.160124937863,597.752937848194,590.873223201084,595.037318028346,608.759780782223,626.072533631097,639.159773114289,652.712072465402,651.491565904734,665.516560441283,668.235885098785,675.330661209039,679.813134942248,686.788062510459,694.326962026053,703.963844253102,701.312749616795,702.917235498825,702.661483061339,713.917147422634,722.278189101614,727.203783122523,732.926583656132,741.900188406449,751.131863970718,758.275964810551,761.880580083588,768.135009900975,773.102447816337,786.360843129971,793.428636288384,799.579310745688,801.676615225047,805.829439903457,812.180270700725,821.769105407102,826.750316515858,832.572560785364,834.017382911809,840.904060905943,854.091760612108,867.185322409272,857.98815449784,870.065955127141,873.209381473279,882.103509075831,897.359487904414,917.021667330971,915.303767519204,913.382433693006,915.414931977915,932.753564420439,935.17038901486,950.564498300822,962.698648157406,985.307773437124,995.904124465272
2,"Labourers",973.779186022505,978.481935069166,987.395990965722,986.188908731214,997.7368078097,1011.844996255,1025.01244607206,1012.0854293419,1032.38311139296,1065.85012271595,1065.70654910544,1061.89633791438,1090.16625633383,1078.63265259339,1080.67182072246,1058.87938248787,1056.46506517509,1045.39874255581,1041.78721437414,1044.09927937732,1049.87132352606,1036.71985156963,1043.9680355717,1050.78760393775,1058.32319241951,1057.25220107687,1053.28940306125,1057.05384472693,1063.96342705834,1073.09992267237,1068.76970757561,1073.06499178088,1068.3520614955,1067.08039663768,1060.84729923504,1042.89171883639,1041.45586463387,1055.6813043234,1060.8428694408,1078.770165464,1085.25739020568,1087.17591651141,1087.14965818228,1081.73490347904,1095.93399909918,1086.52996244027,1092.63112918156,1099.94247972545,1105.17815583185,1115.48131990987,1113.96459294219,1096.28500821063,1106.45610158542,1102.5832504436,1105.12187603475,1130.99084164729,1134.76738073766,1152.23124841478,1146.97273991869,1146.07255081278,1147.6590428753,1157.42937132587,1167.04069646912,1155.54171901233,1162.65762054707,1159.32024977827,1156.11912343143,1153.23964318632
2,"Machinery Operators and Drivers",553.798555828716,554.352908459988,557.21727643,548.74453303,579.7228109,579.62598887,577.48059183,588.63791868,585.50159499,590.83117356,599.24927992,612.54850326,612.80646866,590.36761985,587.51780531,631.06133254,640.1007725,627.77675053,614.149661,607.44954891,624.12436548,610.3677862,608.71806214,619.8059939,649.84124709,626.70899573,623.87635733,609.68439187,621.00462832,616.64031784,633.99036028,613.36465366,607.62510149,605.43377058,622.01010421,627.64675806,616.33931896,626.16607828,622.34246999,619.99822277,632.59661605,635.31066951,632.65696563,626.57417633,613.23985523,625.90767782,644.45433326,637.18897432,648.49109732,635.80573796,647.58541919,635.54155981,637.07460477,638.47986348,653.37719985,661.01149599,690.37759948,704.63270616,707.99339353,713.72006522,731.12680054,698.5034564,722.10273816,722.74711306,735.81508196,710.79587458,690.91747811,689.93363873
2,"Managers",957.329581330614,965.512288612447,975.282186792665,985.771034146679,1003.15190482768,988.001102255131,989.941497640605,1004.15418960375,1012.62502161354,980.59687610604,992.743189328723,979.667578652626,999.087703506585,1017.5216975944,1010.34889087568,993.093851922427,981.846326098864,982.788047264256,985.971089061901,975.139538949277,984.600240045987,967.59393716587,983.119714733432,987.408851473386,996.054424380925,1000.62537170564,1000.76926680872,1021.85805662025,1041.98640128164,1050.27731281351,1030.37054886804,1034.55990197046,1056.94667671756,1056.38626978396,1087.40567626358,1103.88308707412,1156.78489458819,1162.12592597706,1148.55380778854,1113.91936043456,1111.07049212978,1123.91437278572,1139.42964122262,1132.93411293226,1153.79535057589,1162.07293864259,1157.91999266779,1190.08155085798,1225.66689745754,1262.85125368091,1250.11492524863,1254.48690900977,1255.8483712514,1293.11961847855,1273.45490920753,1279.81382370831,1310.55946576039,1318.65354693719,1323.18630361487,1349.73349476987,1371.37000205962,1363.19291196926,1377.7982651723,1400.78217922924,1369.68873139037,1380.32150383457,1403.08627165294,1409.20764099829
2,"Professionals",1259.07852677974,1275.18590123949,1286.15725732673,1315.31489835919,1317.91084573035,1319.69169276726,1335.1574497388,1354.3493220009,1362.74311427853,1365.33605426367,1407.65955259721,1423.12737020506,1452.99104061335,1447.87025143273,1462.970215177,1461.15340625543,1490.46701825267,1474.39532041717,1496.86523208686,1519.39546689741,1536.70609193276,1537.37475370963,1562.77048713245,1569.88815700666,1598.59834720091,1612.05355632536,1613.6925800754,1614.37896512167,1641.15596253921,1646.24083460052,1686.99202853755,1703.81714129461,1709.54943458674,1726.86556645631,1753.82364893126,1763.54897484868,1759.59199869643,1767.7280524547,1801.49065849367,1826.62782099904,1826.58903247593,1844.66194577173,1844.06154037905,1853.70059720078,1877.19322627937,1891.03339215687,1925.16551544792,1911.17014776275,1917.75577670746,1908.68772331663,1963.41846393721,1987.31029722896,1993.70750674207,2028.41066775398,2065.23401729835,2054.85627951557,2066.71487509918,2072.67995971219,2118.93972848263,2135.09991401619,2163.93609176149,2207.07159441814,2217.72562640236,2246.40761736968,2255.66759720482,2258.09417003341,2258.26784193682,2299.4609382987
2,"Sales Workers",1034.90143643601,1040.94778661733,1047.86189238124,1025.65807270819,1032.36765485083,1043.24901159705,1083.06582558491,1082.87265463618,1100.46422607666,1124.66857275674,1140.56576651799,1124.11136466118,1137.65680955416,1155.55467508146,1178.74135652532,1173.73780234901,1144.52183901475,1139.18234448781,1142.69854474167,1128.43564075155,1175.19505433828,1191.92252100344,1193.77779082052,1178.40081483343,1188.38821595726,1199.5945209937,1201.12609414613,1190.35468433624,1190.29077364658,1187.4602880824,1185.9266487399,1205.27038444479,1223.44336619124,1226.86481068266,1220.88581124694,1195.4211248185,1209.88866581396,1200.26303287217,1224.27388984724,1246.31868810532,1287.98068433408,1297.11484072316,1296.06721454286,1278.88317537463,1274.67597880335,1275.88781589874,1269.71601854451,1250.16612550388,1280.95796683577,1313.98133984077,1333.83034784614,1338.99955354818,1365.34876002156,1342.82691628274,1334.93678940598,1336.9117605197,1324.62505259918,1314.86120963368,1316.95042811842,1314.64769337693,1333.04610911374,1336.95999294379,1357.06012134394,1352.97107491356,1372.47547764455,1367.42426926152,1372.44203869066,1368.12007509969
2,"Technicians and Trades Workers",1244.20034737054,1250.14385031605,1270.54999903612,1267.59802491612,1281.71746151612,1276.44037501612,1263.64901335612,1279.34258366612,1311.54610574612,1323.41642525612,1329.48360512612,1320.85311422612,1313.69823788612,1337.52994896612,1331.26680060612,1323.70213618612,1316.79272218612,1345.82794088612,1344.69434254612,1307.98390650612,1320.54329269612,1356.31499948612,1339.93182464612,1311.50271218612,1310.17863968612,1306.08680837612,1341.60532182612,1350.61568077612,1391.37469465612,1369.90240048612,1383.35836860612,1373.92329491612,1357.68254824612,1332.63695636612,1348.40823286612,1345.83854486612,1358.33806660612,1365.08624722612,1363.42737041612,1347.55120453612,1368.11502434612,1406.60194988612,1408.35635777612,1409.10652598612,1422.64972224612,1447.18216922612,1440.93728328612,1410.80974030612,1462.07750059612,1496.82085488612,1498.06887020612,1490.58784724612,1507.94314765612,1506.10427516612,1537.32790722612,1539.89809838612,1568.28243452612,1563.47252650612,1594.48247345612,1590.07592088612,1613.88248307612,1652.66008190612,1614.92730286612,1645.53665134612,1649.31323161612,1670.82616328612,1631.71803318612,1551.45715636612
3,"Clerical and Administrative Workers-Full time",717.336475259597,718.054529430025,712.23840465,702.50030821,711.9388501,727.81404064,746.90316961,736.529676,727.41221603,729.402431,723.98227813,757.20787539,735.04244911,753.25420308,743.68788954,739.90655121,739.7980347,741.64463933,721.46247555,715.78472488,751.2062276,747.27121668,715.86327176,721.63467323,712.66551277,733.08554823,733.05220045,741.34395908,747.87657815,760.76575348,786.51220769,793.2875518,806.93689066,813.25970524,771.65538583,752.15938796,750.87975603,771.67443916,723.39062832,745.11172785,754.42648228,769.00809486,754.21480692,772.68802982,768.48246966,760.79576654,765.12276651,755.10747938,772.74467028,795.06270441,783.27773135,772.60390223,756.54963217,777.46249192,772.73411375,806.0545641,817.85379446,830.35894484,816.95043159,806.11056124,809.22412792,851.98253028,828.11207665,824.90976387,809.66286667,837.66287623,817.44435026,787.33241906
