,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,175270.0,175311.28125,175325.359375,175295.46875,175345.21875
1,175170.46875,175270.890625,175184.015625,175081.46875,175240.390625
2,174811.03125,174972.734375,175003.421875,174806.875,175097.921875
3,174823.3125,174860.609375,174772.078125,174548.75,175004.328125
4,174314.5,174602.609375,174708.53125,174276.5625,174807.671875
5,174392.0625,174433.21875,174481.9375,174269.328125,174502.171875
6,173806.859375,174120.484375,174629.9375,174054.984375,174329.203125
7,173443.359375,174019.0625,173519.828125,173572.96875,174308.9375
8,172698.734375,173603.671875,173284.71875,173147.421875,174085.78125
9,172646.28125,173289.8125,172801.609375,172713.0,173593.6875
10,171841.40625,172982.0,172585.53125,172179.53125,173435.484375
11,171434.5625,172289.4375,172552.0625,171151.3125,172712.21875
12,171232.9375,171817.03125,171581.71875,171079.6875,172740.5625
13,169736.21875,171234.828125,171128.890625,170422.328125,172247.5
14,170926.15625,170200.359375,170048.609375,168714.078125,171178.53125
15,169478.65625,169428.640625,168558.9375,169165.34375,170582.15625
16,169020.109375,167863.03125,169415.1875,166657.578125,170222.625
17,170445.671875,168324.5625,168371.765625,168951.96875,170679.859375
18,167998.53125,165959.9375,171153.8125,167333.6875,167904.890625
19,168707.140625,166925.0,167875.78125,164839.328125,165944.21875
20,168254.9375,166558.484375,167446.9375,165495.5625,166687.359375
21,167778.25,165673.671875,162691.140625,162734.109375,166043.265625
22,168420.78125,162638.75,163153.28125,159744.46875,164290.984375
23,163364.171875,161116.296875,164623.921875,159959.46875,163173.8125
24,160800.65625,161235.375,160797.21875,159076.5625,164090.3125
25,166778.328125,156915.921875,161635.9375,159656.03125,161250.984375
26,164011.828125,157398.6875,158983.5625,155403.296875,159627.21875
27,160924.8125,156571.921875,160687.859375,154342.859375,157075.03125
28,160294.578125,154881.109375,153885.609375,154251.828125,156786.3125
29,155837.828125,154188.8125,155121.625,156184.9375,154439.75
30,155902.140625,161133.6875,154830.21875,157234.921875,158588.53125
31,155150.078125,158713.453125,155245.421875,150325.5625,146611.5625
32,150964.328125,156933.890625,155852.9375,147324.28125,155270.5
33,156819.9375,156541.1875,156161.96875,149917.359375,160665.578125
34,157870.078125,151711.078125,152048.59375,151559.75,152496.0
35,158513.390625,153549.5625,144773.84375,142925.359375,145710.359375
36,150707.03125,145206.5,153525.4375,149946.109375,161012.546875
37,142187.640625,149768.21875,147700.53125,147694.0625,156444.0
38,150686.671875,144800.78125,156113.890625,148179.453125,160679.78125
39,145604.203125,144612.171875,147667.578125,145934.84375,148251.390625
40,148226.3125,145821.53125,150847.046875,159402.78125,153184.0
41,144617.1875,143010.21875,143307.6875,148585.5625,150790.09375
42,136162.921875,149832.78125,144272.84375,157005.4375,139807.609375
43,138031.671875,143600.53125,153859.359375,142527.3125,150040.984375
44,141169.890625,144779.34375,156306.6875,146264.328125,140842.171875
45,147775.390625,138637.6875,154556.609375,150129.3125,133421.640625
46,141271.265625,139862.1875,146296.96875,142863.640625,138196.1875
47,146211.28125,139063.75,152626.421875,149477.609375,153667.6875
48,135246.828125,134349.78125,139443.421875,149053.3125,138731.03125
49,155740.765625,148951.015625,146550.015625,140008.0625,143466.125
50,140133.53125,133470.4375,136173.5,145750.5625,134977.625
51,137226.5,137608.828125,139101.96875,155266.171875,144144.921875
52,140949.5,141086.53125,145190.8125,136327.421875,133302.328125
53,155217.75,145573.9375,129249.71875,141865.0625,140989.203125
54,133784.109375,141485.125,132401.890625,143259.5,143744.875
55,144047.875,151172.390625,140177.25,140949.171875,143720.578125
56,135684.21875,148423.34375,135887.671875,144628.828125,131085.5
57,139237.0,134627.578125,146639.09375,149078.046875,151450.15625
58,138877.859375,159826.59375,145028.65625,149282.453125,134579.078125
59,139885.921875,141834.0,138403.9375,139138.671875,138028.0625
60,141209.390625,136947.78125,141590.625,142594.046875,134828.359375
61,147078.375,133862.859375,141120.71875,136918.265625,146750.46875
62,136045.984375,140792.703125,126120.140625,137371.609375,127929.0
63,130981.0859375,139924.9375,146091.03125,136649.546875,145912.828125
64,131867.234375,132097.984375,147935.859375,142173.890625,146598.640625
65,147880.5625,146654.640625,138878.640625,146275.21875,139896.890625
66,154624.890625,138215.3125,153650.140625,139533.890625,147531.921875
67,140222.6875,135165.21875,130048.2890625,143584.421875,137895.40625
68,135918.90625,141322.0625,130482.0703125,163596.359375,129435.46875
69,139722.09375,145901.578125,139614.3125,141056.6875,131667.1875
