,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,3330828.75,3184697.25,3278325.0,3327480.5,3281181.5
1,3251128.25,3239449.5,3219961.0,3249467.5,3294055.0
2,3237515.0,3232489.0,3261915.5,3263805.0,3209900.5
3,3235683.0,3232387.25,3207322.75,3177700.5,3226541.0
4,3192202.75,3224008.5,3213637.0,3145775.75,3216040.25
5,3270972.5,3261739.5,3112816.0,3276501.25,3203273.5
6,3123135.25,3218515.75,3242980.0,3219565.0,3183985.0
7,3242472.5,3178181.25,3249311.0,3208944.75,3225643.5
8,3241883.25,3214747.5,3191757.0,3142103.0,3235367.0
9,3220886.25,3121555.0,3223166.5,3150036.75,3193238.25
10,3188997.5,3163121.75,3243044.0,3215645.75,3248004.75
11,3235803.0,3246579.25,3235525.25,3223571.0,3226965.75
12,3195261.25,3132990.0,3220461.0,3189106.75,3213988.25
13,3190289.0,3135557.25,3218943.0,3137716.75,3211797.0
14,3156487.75,3250786.0,3219371.0,3268306.25,3176818.25
15,3303789.25,3246309.0,3213488.5,3195743.75,3183389.25
16,3193053.75,3224985.75,3214981.0,3221496.75,3237454.75
17,3278057.25,3177715.75,3211067.0,3172647.5,3237863.25
18,3195739.0,3200503.0,3214692.75,3175747.25,3233981.25
19,3212993.5,3198921.25,3215301.0,3259571.0,3216614.0
20,3157543.25,3206244.25,3217777.75,3235038.0,3216044.75
21,3234454.25,3182443.0,3214956.25,3148488.25,3215259.0
22,3219994.0,3250009.75,3210989.25,3237907.5,3215767.0
23,3208883.25,3210623.5,3213870.75,3214967.25,3209820.75
24,3216591.25,3190957.5,3215048.5,3210690.25,3211610.5
25,3220109.25,3260872.5,3212908.5,3223662.25,3211797.75
26,3218895.75,3211804.5,3209965.75,3158454.75,3214805.25
27,3212802.75,3222738.75,3218864.5,3251842.0,3212466.75
28,3207555.0,3219244.75,3214369.0,3181431.25,3210081.0
29,3209353.5,3218865.0,3213068.25,3195544.25,3211680.75
30,3225288.0,3219663.5,3214357.5,3249427.0,3210348.75
31,3218975.25,3215512.0,3211381.75,3246151.0,3212030.5
32,3210786.0,3212262.5,3211227.75,3225179.0,3213874.25
33,3208481.0,3214503.0,3210375.5,3215598.25,3211372.0
34,3216470.0,3221046.0,3213781.25,3211361.0,3216802.0
